order,section,capability,method,status,sources,last_reviewed,notes
"369","Matrix algorithms","Matrix mutation operations","with_swapped_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_swapped_columns_returns_new_matrix_with_swapped_order","2026-02-15",""
"370","Matrix algorithms","Matrix mutation operations","with_added_multiple_of_row","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_added_multiple_of_row_matches_in_place_update","2026-02-15",""
"371","Matrix algorithms","Matrix mutation operations","with_added_multiple_of_column","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_added_multiple_of_column_matches_in_place_update","2026-02-15",""
"372","Matrix algorithms","Matrix mutation operations","with_rescaled_row","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_rescaled_row_matches_in_place_update","2026-02-15",""
"373","Matrix algorithms","Matrix mutation operations","with_rescaled_col","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_rescaled_col_matches_in_place_update","2026-02-15",""
"374","Matrix algorithms","Matrix mutation operations","add_multiple_of_row","done","sage_doc/test_matrix_methods_static.py::test_matrix_add_multiple_of_row_updates_target_row","2026-02-15",""
"375","Matrix algorithms","Matrix mutation operations","add_multiple_of_column","done","sage_doc/test_matrix_methods_static.py::test_matrix_add_multiple_of_column_updates_target_column","2026-02-15",""
"376","Matrix algorithms","Matrix mutation operations","add_to_entry","done","sage_doc/test_matrix_methods_static.py::test_matrix_add_to_entry_changes_single_entry","2026-02-15",""
"377","Matrix algorithms","Matrix mutation operations","insert_row","done","sage_doc/test_matrix_methods_static.py::test_matrix_insert_row_increases_row_count_by_one","2026-02-15",""
"378","Matrix algorithms","Matrix mutation operations","delete_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_delete_rows_reduces_row_count","2026-02-15",""
"379","Matrix algorithms","Matrix mutation operations","delete_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_delete_columns_reduces_column_count","2026-02-15",""
"380","Matrix algorithms","Matrix mutation operations","reverse_rows_and_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_reverse_rows_and_columns_is_involution","2026-02-15",""
"381","Matrix algorithms","Matrix mutation operations","linear_combination_of_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_linear_combination_of_rows_matches_manual_combination","2026-02-15",""
"382","Matrix algorithms","Matrix mutation operations","linear_combination_of_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_linear_combination_of_columns_matches_manual_combination","2026-02-15",""
"383","Matrix algorithms","Matrix mutation operations","apply_map","done","sage_doc/test_matrix_methods_static.py::test_matrix_apply_map_adds_one_entrywise","2026-02-15",""
"384","Matrix algorithms","Matrix block/assembly operations","augment","done","sage_doc/test_matrix_methods_static.py::test_matrix_augment_increases_column_count_by_other_columns","2026-02-15",""
"385","Matrix algorithms","Matrix block/assembly operations","stack","done","sage_doc/test_matrix_methods_static.py::test_matrix_stack_increases_row_count_by_other_rows","2026-02-15",""
"386","Matrix algorithms","Matrix block/assembly operations","matrix_from_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_matrix_from_rows_selects_requested_rows","2026-02-15",""
"387","Matrix algorithms","Matrix block/assembly operations","matrix_from_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_matrix_from_columns_selects_requested_columns","2026-02-15",""
"388","Matrix algorithms","Matrix block/assembly operations","matrix_from_rows_and_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_from_rows_and_columns_extracts_expected_entry","2026-02-15",""
"389","Matrix algorithms","Matrix block/assembly operations","submatrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_submatrix_extracts_requested_block_shape","2026-02-15",""
"390","Matrix algorithms","Matrix accessors and layout","rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_rows_length_matches_nrows","2026-02-15",""
"391","Matrix algorithms","Matrix accessors and layout","columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_columns_length_matches_ncols","2026-02-15",""
"392","Matrix algorithms","Matrix accessors and layout","row","done","sage_doc/test_matrix_methods_static.py::test_matrix_row_accessor_matches_rows_list_entry","2026-02-15",""
"393","Matrix algorithms","Matrix accessors and layout","column","done","sage_doc/test_matrix_methods_static.py::test_matrix_column_accessor_matches_columns_list_entry","2026-02-15",""
"394","Matrix algorithms","Matrix accessors and layout","diagonal","done","sage_doc/test_matrix_methods_static.py::test_matrix_diagonal_entries_match_constructor","2026-02-15",""
"395","Matrix algorithms","Matrix accessors and layout","dense_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_dense_rows_length_matches_nrows","2026-02-15",""
"396","Matrix algorithms","Matrix accessors and layout","dense_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_dense_columns_length_matches_ncols","2026-02-15",""
"397","Matrix algorithms","Matrix accessors and layout","dense_matrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_dense_matrix_preserves_entries","2026-02-15",""
"398","Matrix algorithms","Matrix accessors and layout","sparse_matrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_sparse_matrix_preserves_entries","2026-02-15",""
"399","Matrix algorithms","Matrix accessors and layout","list","done","sage_doc/test_matrix_methods_static.py::test_matrix_list_length_equals_entry_count","2026-02-15",""
"400","Matrix algorithms","Matrix accessors and layout","items","done","sage_doc/test_matrix_methods_static.py::test_matrix_items_count_equals_nonzero_positions","2026-02-15",""
"401","Matrix algorithms","Matrix accessors and layout","numpy","done","sage_doc/test_matrix_methods_static.py::test_matrix_numpy_export_preserves_shape","2026-02-15",""
"402","Matrix algorithms","Matrix accessors and layout","nonzero_positions","done","sage_doc/test_matrix_methods_static.py::test_matrix_nonzero_positions_cardinality_equals_nonzero_entries_count","2026-02-15",""
"403","Matrix algorithms","Matrix accessors and layout","nonzero_positions_in_row","done","sage_doc/test_matrix_methods_static.py::test_matrix_nonzero_positions_in_row_matches_row_support","2026-02-15",""
"404","Matrix algorithms","Matrix accessors and layout","nonzero_positions_in_column","done","sage_doc/test_matrix_methods_static.py::test_matrix_nonzero_positions_in_column_matches_column_support","2026-02-15",""
"405","Matrix algorithms","Matrix bilinear and commutator operations","anticommutator","done","sage_doc/test_matrix_methods_static.py::test_matrix_anticommutator_definition_matches_sum","2026-02-15",""
"406","Matrix algorithms","Matrix bilinear and commutator operations","antitranspose","done","sage_doc/test_matrix_methods_static.py::test_matrix_antitranspose_involution","2026-02-15",""
"407","Matrix algorithms","Matrix bilinear and commutator operations","commutator","done","sage_doc/test_matrix_methods_static.py::test_matrix_commutator_definition_matches_difference","2026-02-15",""
"408","Matrix algorithms","Matrix bilinear and commutator operations","conjugate_transpose","done","sage_doc/test_matrix_methods_static.py::test_matrix_conjugate_transpose_equals_transpose_over_integers","2026-02-15",""
"409","Matrix algorithms","Matrix bilinear and commutator operations","trace_of_product","done","sage_doc/test_matrix_methods_static.py::test_matrix_trace_of_product_matches_direct_trace","2026-02-15",""
"410","Matrix algorithms","Matrix bilinear and commutator operations","trace","done","sage_doc/test_matrix_methods_static.py::test_matrix_trace_equals_sum_of_diagonal","2026-02-15",""
"411","Matrix algorithms","Matrix bilinear and commutator operations","transpose","done","sage_doc/test_matrix_methods_static.py::test_matrix_transpose_swaps_off_diagonal_entries","2026-02-15",""
"412","Matrix algorithms","Matrix arithmetic invariants","permanent","done","sage_doc/test_matrix_methods_static.py::test_matrix_permanent_known_value_for_2x2","2026-02-15",""
"413","Matrix algorithms","Matrix arithmetic invariants","rook_vector","done","sage_doc/test_matrix_methods_static.py::test_matrix_rook_vector_length_matches_min_dimension_plus_one","2026-02-15",""
"414","Matrix algorithms","Matrix arithmetic invariants","prod_of_row_sums","done","sage_doc/test_matrix_methods_static.py::test_matrix_prod_of_row_sums_matches_manual_product","2026-02-15",""
"415","Matrix algorithms","Matrix arithmetic invariants","height","done","sage_doc/test_matrix_methods_static.py::test_matrix_height_equals_max_abs_entry","2026-02-15",""
"416","Matrix algorithms","Matrix arithmetic invariants","index_in_saturation","done","sage_doc/test_matrix_methods_static.py::test_matrix_index_in_saturation_for_scaled_identity","2026-02-15",""
"417","Matrix algorithms","Matrix arithmetic invariants","saturation","done","sage_doc/test_matrix_methods_static.py::test_matrix_saturation_of_scaled_identity_is_identity","2026-02-15",""
"418","Matrix algorithms","Matrix arithmetic invariants","rational_reconstruction","done","sage_doc/test_matrix_methods_static.py::test_matrix_rational_reconstruction_recovers_integer_matrix_for_large_modulus","2026-02-15",""
"419","Matrix algorithms","Matrix arithmetic invariants","fitting_ideal","done","sage_doc/test_matrix_methods_static.py::test_matrix_fitting_ideal_zero_has_generator_determinant_for_full_rank","2026-02-15",""
"420","Matrix algorithms","Matrix arithmetic invariants","null_ideal","done","sage_doc/test_matrix_methods_static.py::test_matrix_null_ideal_generator_annihilates_matrix","2026-02-15",""
"421","Matrix algorithms","Matrix arithmetic invariants","p_minimal_polynomials","done","sage_doc/test_matrix_methods_static.py::test_matrix_p_minimal_polynomials_returns_dict","2026-02-15",""
"422","Matrix algorithms","Matrix arithmetic invariants","integer_valued_polynomials_generators","done","sage_doc/test_matrix_methods_static.py::test_matrix_integer_valued_polynomials_generators_annihilate_mod_z","2026-02-15",""
"423","Matrix algorithms","Matrix arithmetic invariants","symplectic_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_symplectic_form_returns_standard_form_for_basis","2026-02-15",""
"424","Matrix algorithms","Matrix arithmetic invariants","randomize","done","sage_doc/test_matrix_methods_static.py::test_matrix_randomize_density_zero_preserves_entries","2026-02-15",""
"425","Matrix algorithms","Matrix Smith-type divisor data","elementary_divisors","done","sage_doc/test_matrix_methods_static.py::test_matrix_elementary_divisors_multiply_to_determinant_absolute","2026-02-15",""
"426","Lattices over $\mathbf{Z}$","Lattice norm ideal invariant","norm","done","sage_doc/test_genus_static.py::test_genus_norm_divides_scale_times_two","2026-02-15","recategorized: genus/lattice norm ideal, not matrix norm"
"427","Matrix algorithms","Matrix zero-pattern extraction","zero_pattern_matrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_zero_pattern_matrix_marks_nonzero_support","2026-02-15",""
"428","Matrix algorithms","Linear system solving","solve_right","done","sage_doc/test_matrix_methods_static.py::test_matrix_solve_right_solves_linear_system","2026-02-15",""
"429","Number fields $K/\mathbf{Q}$","Number field defining data","base_field","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_base_field_is_rational_field","2026-02-15",""
"430","Number fields $K/\mathbf{Q}$","Number field defining data","gen","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_gen_is_root_of_defining_polynomial","2026-02-15",""
"431","Number fields $K/\mathbf{Q}$","Number field defining data","ngens","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ngens_is_one","2026-02-15",""
"432","Number fields $K/\mathbf{Q}$","Number field defining data","defining_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_defining_polynomial_matches_constructor","2026-02-15",""
"433","Number fields $K/\mathbf{Q}$","Number field defining data","absolute_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_polynomial_matches_polynomial","2026-02-15",""
"434","Number fields $K/\mathbf{Q}$","Number field defining data","absolute_polynomial_ntl","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_polynomial_ntl_degree_matches_degree","2026-02-15",""
"435","Number fields $K/\mathbf{Q}$","Number field defining data","relative_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_relative_polynomial_matches_defining_polynomial","2026-02-15",""
"436","Number fields $K/\mathbf{Q}$","Number field defining data","polynomial_ntl","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_polynomial_ntl_degree_matches_degree","2026-02-15",""
"437","Number fields $K/\mathbf{Q}$","Number field defining data","polynomial_ring","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_polynomial_ring_base_is_rational_field","2026-02-15",""
"438","Number fields $K/\mathbf{Q}$","Number field defining data","polynomial_quotient_ring","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_polynomial_quotient_ring_modulus_matches_defining_polynomial","2026-02-15",""
"439","Number fields $K/\mathbf{Q}$","Number field defining data","construction","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_construction_base_is_rational_field","2026-02-15",""
"440","Number fields $K/\mathbf{Q}$","Number field defining data","extension","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_extension_degree_multiplies_for_quadratic_over_quadratic","2026-02-15",""
"441","Number fields $K/\mathbf{Q}$","Number field defining data","absolute_field","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_field_preserves_degree","2026-02-15",""
"442","Number fields $K/\mathbf{Q}$","Number field defining data","absolute_generator","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_generator_satisfies_defining_polynomial","2026-02-15",""
"443","Number fields $K/\mathbf{Q}$","Number field defining data","primitive_element","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primitive_element_generates_field","2026-02-15",""
"444","Number fields $K/\mathbf{Q}$","Number field defining data","change_generator","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_change_generator_preserves_degree","2026-02-15",""
"445","Number fields $K/\mathbf{Q}$","Number field defining data","change_names","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_change_names_preserves_polynomial","2026-02-15",""
"446","Number fields $K/\mathbf{Q}$","Number field defining data","relativize","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_relativize_preserves_absolute_degree","2026-02-15",""
"447","Number fields $K/\mathbf{Q}$","Number field degree invariants (absolute/relative)","absolute_degree","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_degree_matches_degree","2026-02-15",""
"448","Number fields $K/\mathbf{Q}$","Number field degree invariants (absolute/relative)","relative_degree","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_relative_degree_matches_degree_for_absolute_field","2026-02-15",""
"449","Number fields $K/\mathbf{Q}$","Number field characteristic invariant","characteristic","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_characteristic_zero","2026-02-15",""
"450","Number fields $K/\mathbf{Q}$","Number field absoluteness/relativity predicates","is_absolute","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_absolute_true_for_absolute_field","2026-02-15",""
"451","Number fields $K/\mathbf{Q}$","Number field absoluteness/relativity predicates","is_relative","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_relative_false_for_absolute_field","2026-02-15",""
"452","Number fields $K/\mathbf{Q}$","Number field absoluteness/relativity predicates","is_field","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_field_true","2026-02-15",""
"453","Number fields $K/\mathbf{Q}$","Number field real/imaginary signature-type predicates","is_totally_real","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_real_imaginary_status_totally_real","2026-02-15",""
"454","Number fields $K/\mathbf{Q}$","Number field real/imaginary signature-type predicates","is_totally_imaginary","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_totally_imaginary_false_for_real_quadratic","2026-02-15",""
"455","Number fields $K/\mathbf{Q}$","Number field Galois/abelian/CM predicates","is_galois","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_galois_true_for_quadratic_extension","2026-02-15",""
"456","Number fields $K/\mathbf{Q}$","Number field Galois/abelian/CM predicates","is_abelian","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_abelian_true_for_quadratic_extension","2026-02-15",""
"457","Number fields $K/\mathbf{Q}$","Number field Galois/abelian/CM predicates","is_CM","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_cm_false_for_real_quadratic_field","2026-02-15",""
"458","Number fields $K/\mathbf{Q}$","Number field embeddings and places","embeddings","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_embeddings_count_matches_automorphisms","2026-02-15",""
"459","Number fields $K/\mathbf{Q}$","Number field embeddings and places","real_embeddings","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_real_embeddings_count_matches_signature","2026-02-15",""
"460","Number fields $K/\mathbf{Q}$","Number field embeddings and places","complex_embeddings","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_complex_embeddings_count_matches_degree","2026-02-15",""
"461","Number fields $K/\mathbf{Q}$","Number field embeddings and places","specified_complex_embedding","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_specified_complex_embedding_is_none_without_choice","2026-02-15",""
"462","Number fields $K/\mathbf{Q}$","Number field embeddings and places","real_places","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_real_places_count_matches_real_embeddings","2026-02-15",""
"463","Number fields $K/\mathbf{Q}$","Number field embeddings and places","places","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_places_count_matches_signature_real_plus_complex","2026-02-15",""
"464","Number fields $K/\mathbf{Q}$","Number field embeddings and places","completion","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_completion_archimedean_has_requested_precision","2026-02-15",""
"465","Number fields $K/\mathbf{Q}$","Number field embeddings and places","gen_embedding","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_gen_embedding_none_without_specified_embedding","2026-02-15",""
"466","Number fields $K/\mathbf{Q}$","Number field embeddings and places","minkowski_embedding","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_minkowski_embedding_matrix_has_degree_rows","2026-02-15",""
"467","Number fields $K/\mathbf{Q}$","Number field embeddings and places","logarithmic_embedding","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_logarithmic_embedding_is_homomorphism_on_multiplication","2026-02-15",""
"468","Number fields $K/\mathbf{Q}$","Number field embeddings and places","absolute_vector_space","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_vector_space_dimension_matches_degree","2026-02-15",""
"469","Number fields $K/\mathbf{Q}$","Number field embeddings and places","relative_vector_space","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_relative_vector_space_dimension_matches_degree","2026-02-15",""
"470","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","complex_conjugation","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_complex_conjugation_has_order_two","2026-02-15",""
"471","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","galois_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_galois_group_order_equals_two_for_quadratic","2026-02-15",""
"472","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","galois_closure","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_galois_closure_degree_matches_quadratic_degree","2026-02-15",""
"473","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","subfield","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_subfield_generated_by_generator_has_same_degree","2026-02-15",""
"474","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","subfields","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_subfields_contains_rational_subfield","2026-02-15",""
"475","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","subfield_from_elements","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_subfield_from_elements_recovers_full_field_degree","2026-02-15",""
"476","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","composite_fields","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_composite_fields_contains_self_for_self_compositum","2026-02-15",""
"477","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","maximal_totally_real_subfield","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_maximal_totally_real_subfield_has_same_degree","2026-02-15",""
"478","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","hilbert_class_field","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_class_field_degree_matches_base_for_class_number_one","2026-02-15",""
"479","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","hilbert_class_field_defining_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_class_field_defining_polynomial_degree_one_for_class_number_one","2026-02-15",""
"480","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","hilbert_class_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_class_polynomial_degree_matches_class_number","2026-02-15",""
"481","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","hilbert_conductor","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_conductor_divides_discriminant","2026-02-15",""
"482","Number fields $K/\mathbf{Q}$","Number field optimized defining models","optimized_representation","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_optimized_representation_preserves_absolute_degree","2026-02-15",""
"483","Number fields $K/\mathbf{Q}$","Number field optimized defining models","optimized_subfields","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_optimized_subfields_contains_rational_subfield","2026-02-15",""
"484","Number fields $K/\mathbf{Q}$","Number field algebraic closure embedding","algebraic_closure","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_algebraic_closure_has_characteristic_zero","2026-02-15",""
"485","Number fields $K/\mathbf{Q}$","PARI NF/BNF interface data","pari_nf","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_pari_nf_has_matching_polynomial_degree","2026-02-15",""
"486","Number fields $K/\mathbf{Q}$","PARI NF/BNF interface data","pari_bnf","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_pari_bnf_class_number_matches_sage_class_number","2026-02-15",""
"487","Number fields $K/\mathbf{Q}$","PARI NF/BNF interface data","pari_polynomial","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_pari_polynomial_degree_matches_field_degree","2026-02-15",""
"488","Number fields $K/\mathbf{Q}$","PARI NF/BNF interface data","pari_zk","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_pari_zk_length_matches_degree","2026-02-15",""
"489","Number fields $K/\mathbf{Q}$","PARI NF/BNF interface data","pari_rnfnorm_data","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_pari_rnfnorm_data_has_eight_components","2026-02-15",""
"490","Number fields $K/\mathbf{Q}$","Number field structure maps","structure","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_structure_maps_generator_to_itself","2026-02-15",""
"491","Number fields $K/\mathbf{Q}$","Number field absolute values and heights","abs_val","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_abs_val_matches_archimedean_absolute_value","2026-02-15",""
"492","Number fields $K/\mathbf{Q}$","Number field absolute values and heights","elements_of_bounded_height","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_elements_of_bounded_height_contains_zero_and_one","2026-02-15",""
"493","Number fields $K/\mathbf{Q}$","Dirichlet characters attached to abelian fields","dirichlet_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_dirichlet_group_contains_trivial_character","2026-02-15",""
"494","Number fields $K/\mathbf{Q}$","Selmer groups $K(S,m)$","selmer_generators","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_selmer_generators_generate_expected_rank_mod_squares","2026-02-15",""
"495","Number fields $K/\mathbf{Q}$","Selmer groups $K(S,m)$","selmer_group_iterator","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_selmer_group_iterator_contains_identity","2026-02-15",""
"496","Number fields $K/\mathbf{Q}$","Selmer groups $K(S,m)$","selmer_space","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_selmer_space_maps_zero_to_identity","2026-02-15",""
"497","Number fields $K/\mathbf{Q}$","Number field LMFDB identification","lmfdb_page","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_lmfdb_page_uses_lmfdb_url","2026-02-15",""
"498","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","order","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_order_matches_ring_of_integers","2026-02-15",""
"499","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","maximal_order","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_maximal_order_matches_ring_of_integers","2026-02-15",""
"500","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","ring_of_integers","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ring_of_integers_basis_rank","2026-02-15",""
"501","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","OK","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ok_alias_matches_ring_of_integers","2026-02-15",""
"502","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","integral_basis","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_integral_basis_has_field_degree_length","2026-02-15",""
"503","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","free_module","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ideal_free_module_has_expected_rank","2026-02-15",""
"504","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","power_basis","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_power_basis_length_matches_degree","2026-02-15",""
"505","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","trace_dual_basis","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_trace_dual_basis_has_field_degree_length","2026-02-15",""
"506","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","trace_pairing","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_trace_pairing_is_symmetric_matrix","2026-02-15",""
"507","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","reduced_basis","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_reduced_basis_has_field_degree_length","2026-02-15",""
"508","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field orders and bases","reduced_gram_matrix","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_reduced_gram_matrix_has_correct_determinant","2026-02-15",""
"509","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","ideal","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ideal_and_fractional_ideal_have_same_norm_for_two","2026-02-15",""
"510","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","fractional_ideal","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_fractional_ideal_norm_matches_principal_norm","2026-02-15",""
"511","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","prime_above","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_prime_above_has_residue_characteristic","2026-02-15",""
"512","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","primes_above","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primes_above_2_total_residue_degree_equals_degree","2026-02-15",""
"513","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","prime_factors","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_prime_factors_norms_multiply_to_integer_norm","2026-02-15",""
"514","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","primes_of_bounded_norm","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primes_of_bounded_norm_respect_bound","2026-02-15",""
"515","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","primes_of_bounded_norm_iter","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primes_of_bounded_norm_iter_matches_list_method","2026-02-15",""
"516","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","primes_of_degree_one_list","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primes_of_degree_one_list_matches_iterator_prefix","2026-02-15",""
"517","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","primes_of_degree_one_iter","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primes_of_degree_one_iter_yields_degree_one_primes","2026-02-15",""
"518","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","completely_split_primes","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_completely_split_primes_contain_11_below_30","2026-02-15",""
